CDREDE,DE,CODMUN,MUN,CATEG,TIPOESC,COD_ESC,NOMESC,AL_ALEMAO,AL_ESPANHOL,AL_FRANCES,AL_INGLES,AL_ITALIANO,AL_JAPONES,AL_MANDARIM,TOTAL-AL-DU,AL_ALEMAO_SAB_SEMANA,AL_ESPANHOL_SAB_SEMANA,AL_FRANCES_SAB_SEMANA,AL_INGLES_SAB_SEMANA,AL_ITALIANO_SAB_SEMANA,AL_JAPONES_SAB_SEMANA,AL_MANDARIM_SAB_SEMANA,TOTAL-AL-SAB-SEMANA,AL_ALEMAO_SAB,AL_ESPANHOL_SAB,AL_FRANCES_SAB,AL_INGLES_SAB,AL_ITALIANO_SAB,AL_JAPONES_SAB,AL_MANDARIM_SAB,TOTAL-AL-SAB,CL_ALEMAO,CL_ESPANHOL,CL_FRANCES,CL_INGLES,CL_ITALIANO,CL_JAPONES,CL_MANDARIM,TOTAL-CL-DU,CL_ALEMAO_SAB_SEMANA,CL_ESPANHOL_SAB_SEMANA,CL_FRANCES_SAB_SEMANA,CL_INGLES_SAB_SEMANA,CL_ITALIANO_SAB_SEMANA,CL_JAPONES_SAB_SEMANA,CL_MANDARIM_SAB_SEMANA,TOTAL-CL-SAB-SEMANA,CL_ALEMAO_SAB,CL_ESPANHOL_SAB,CL_FRANCES_SAB,CL_INGLES_SAB,CL_ITALIANO_SAB,CL_JAPONES_SAB,CL_MANDARIM_SAB,TOTAL-CL-SAB,AL-TOTAL-TOTAL,CL-TOTAL-TOTAL
10101,NORTE 1,100,SAO PAULO,2,6,985004,CEL JTO A EE ANTONIO C C GUIMARAES FILHO PROFESSOR,0,47,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,2
10102,CENTRO,100,SAO PAULO,2,6,985028,CEL JTO A EE BUENOS AIRES,12,96,83,69,0,0,0,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,5,2,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260,16
10102,CENTRO,100,SAO PAULO,2,6,985107,CEL JTO A EE MAURO DE OLIVEIRA PROFESSOR,0,155,52,106,0,0,0,313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,3,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,313,13
10104,NORTE 2,100,SAO PAULO,2,6,458314,CEL JTO A EE VERIDIANA CAMACHO CARVALHO GOMES PROFA,0,73,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,5
10104,NORTE 2,100,SAO PAULO,2,6,458338,CEL JTO A EE GUSTAVO BARROSO,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1
10104,NORTE 2,100,SAO PAULO,2,6,985016,CEL JTO A EE ALBINO CESAR,4,191,0,76,0,0,0,271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0,3,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,271,16
10205,LESTE 5,100,SAO PAULO,2,6,5865,CEL JTO A EE LOUREIRO JUNIOR PROFESSOR,0,74,0,74,0,0,0,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,6
10205,LESTE 5,100,SAO PAULO,2,6,458296,CEL JTO A EE JOSE MARQUES DA CRUZ PROF,23,82,0,35,16,0,0,156,0,0,0,0,0,0,0,0,8,79,0,31,0,0,0,118,2,6,0,1,2,0,0,11,0,0,0,0,0,0,0,0,1,5,0,1,0,0,0,7,274,18
10205,LESTE 5,100,SAO PAULO,2,6,985041,CEL JTO A EE JOAO DIAS DA SILVEIRA PROFESSOR,45,173,41,140,0,0,0,399,0,0,0,0,0,0,0,0,42,147,28,30,26,0,0,273,2,8,2,5,0,0,0,17,0,0,0,0,0,0,0,0,2,6,1,1,1,0,0,11,672,28
10205,LESTE 5,100,SAO PAULO,2,6,985685,CEL JTO A EE PAULO EGYDIO O CARVALHO SENADOR,0,94,0,47,0,0,0,141,0,0,0,0,0,0,0,0,25,127,36,120,0,0,0,308,0,4,0,2,0,0,0,6,0,0,0,0,0,0,0,0,1,6,2,5,0,0,0,14,449,20
10207,LESTE 1,100,SAO PAULO,2,6,985053,CEL JTO A EE NOSSA SENHORA DA PENHA,230,642,198,218,43,57,0,1388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,29,9,7,2,3,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1388,62
10207,LESTE 1,100,SAO PAULO,2,6,985065,CEL JTO A EE ERMELINO MATARAZZO,0,124,0,34,0,0,0,158,0,0,0,0,0,0,0,0,0,70,55,35,0,0,0,160,0,6,0,1,0,0,0,7,0,0,0,0,0,0,0,0,0,3,3,1,0,0,0,7,318,14
