CDREDE;DE;CODMUN;MUN;CATEG;TIPOESC;COD_ESC;NOMESC;AL_ALEMAO_DU;AL_ESPANHOL_DU;AL_FRANCES_DU;AL_INGLES_DU;AL_ITALIANO_DU;AL_JAPONES_DU;AL_MANDARIM_DU;TOTAL_AL_DU;AL_ALEMAO_SAB_SEMANA;AL_ESPANHOL_SAB_SEMANA;AL_FRANCES_SAB_SEMANA;AL_INGLES_SAB_SEMANA;AL_ITALIANO_SAB_SEMANA;AL_JAPONES_SAB_SEMANA;AL_MANDARIM_SAB_SEMANA;TOTAL_AL_SAB_SEMANA;AL_ALEMAO_SAB;AL_ESPANHOL_SAB;AL_FRANCES_SAB;AL_INGLES_SAB;AL_ITALIANO_SAB;AL_JAPONES_SAB;AL_MANDARIM_SAB;TOTAL_AL_SAB;CL_ALEMAO_DU;CL_ESPANHOL_DU;CL_FRANCES_DU;CL_INGLES_DU;CL_ITALIANO_DU;CL_JAPONES_DU;CL_MANDARIM_DU;TOTAL_CL_DU;CL_ALEMAO_SAB_SEMANA;CL_ESPANHOL_SAB_SEMANA;CL_FRANCES_SAB_SEMANA;CL_INGLES_SAB_SEMANA;CL_ITALIANO_SAB_SEMANA;CL_JAPONES_SAB_SEMANA;CL_MANDARIM_SAB_SEMANA;TOTAL_CL_SAB_SEMANA;CL_ALEMAO_SAB;CL_ESPANHOL_SAB;CL_FRANCES_SAB;CL_INGLES_SAB;CL_ITALIANO_SAB;CL_JAPONES_SAB;CL_MANDARIM_SAB;TOTAL_CL_SAB;TOTAL_TOTAL_AL;TOTAL_TOTAL_CL
10102;CENTRO;100;SAO PAULO;2;6;985107;CEL JTO A EE MAURO DE OLIVEIRA PROFESSOR;0;71;11;44;0;0;0;126;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;1;2;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;126;0
10205;LESTE 5;100;SAO PAULO;2;6;458296;CEL JTO A EE JOSE MARQUES DA CRUZ PROF;10;154;12;27;15;0;0;218;0;0;0;0;0;0;0;0;13;55;5;39;5;0;0;117;1;9;2;2;1;0;0;15;0;0;0;0;0;0;0;0;1;3;1;2;1;0;0;8;335;8
10314;SUL 2;100;SAO PAULO;2;6;985156;CEL JTO A EE LEOPOLDO SANTANA PROFESSOR;112;329;194;78;80;102;0;895;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;14;9;3;4;4;0;39;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;895;0
10316;CENTRO SUL;100;SAO PAULO;2;6;498634;CEL JTO A EE ROOSEVELT PRESIDENTE;0;125;47;24;0;62;0;258;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;5;1;0;4;0;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;258;0
10316;CENTRO SUL;100;SAO PAULO;2;6;985788;CEL JTO A EE JULIA MACEDO PANTOJA PROFESSORA;13;142;14;42;29;36;0;276;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;18;2;5;4;4;0;36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;276;0
10318;SUL 3;100;SAO PAULO;2;6;29828;CEL JTO A EE LAERTE RAMOS PROF DR;0;240;0;77;0;123;0;440;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;4;0;6;0;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;440;0
10318;SUL 3;100;SAO PAULO;2;6;458399;CEL JTO A EE ALBERTO SALOTTI PROF;0;135;59;13;0;0;0;207;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;3;5;0;0;0;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;207;0
10318;SUL 3;100;SAO PAULO;2;6;985168;CEL JTO A EE PAULINO NUNES ESPOSO;0;244;0;27;0;0;0;271;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;0;3;0;0;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;271;0
10401;CAIEIRAS;312;FRANCO DA ROCHA;2;6;499742;CEL JTO A EE BENEDITO FAGUMDES MARQUES PROF;0;207;0;10;0;0;0;217;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;1;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;217;0
10402;GUARULHOS SUL;336;GUARULHOS;2;6;985673;CEL JTO A EE ALICE CHUERY PROFESSORA;0;189;76;44;0;0;0;309;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;7;3;0;0;0;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;309;0
10403;GUARULHOS NORTE;336;GUARULHOS;2;6;407331;CEL JTO A EE CONRADO SIVILA ALSINA PADRE;0;303;65;93;87;0;0;548;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;6;5;8;0;0;38;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;548;0
10501;MOGI DAS CRUZES;454;MOGI DAS CRUZES;2;6;985752;CEL JTO A EE FRANCISCO FERREIRA LOPES;0;472;49;139;34;31;11;736;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;4;8;4;3;2;51;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;736;0
10601;DIADEMA;286;DIADEMA;2;6;499161;CEL JTO A EE ORIGENES LESSA;4;128;0;27;0;0;0;159;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;9;0;2;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;159;0
