CDREDE;DE;CODMUN;MUN;CATEG;TIPOESC;COD_ESC;NOMESC;AL_ALEMAO_DU;AL_ESPANHOL_DU;AL_FRANCES_DU;AL_INGLES_DU;AL_ITALIANO_DU;AL_JAPONES_DU;AL_MANDARIM_DU;TOTAL_AL_DU;AL_ALEMAO_SAB_SEMANA;AL_ESPANHOL_SAB_SEMANA;AL_FRANCES_SAB_SEMANA;AL_INGLES_SAB_SEMANA;AL_ITALIANO_SAB_SEMANA;AL_JAPONES_SAB_SEMANA;AL_MANDARIM_SAB_SEMANA;TOTAL_AL_SAB_SEMANA;AL_ALEMAO_SAB;AL_ESPANHOL_SAB;AL_FRANCES_SAB;AL_INGLES_SAB;AL_ITALIANO_SAB;AL_JAPONES_SAB;AL_MANDARIM_SAB;TOTAL_AL_SAB;CL_ALEMAO_DU;CL_ESPANHOL_DU;CL_FRANCES_DU;CL_INGLES_DU;CL_ITALIANO_DU;CL_JAPONES_DU;CL_MANDARIM_DU;TOTAL_CL_DU;CL_ALEMAO_SAB_SEMANA;CL_ESPANHOL_SAB_SEMANA;CL_FRANCES_SAB_SEMANA;CL_INGLES_SAB_SEMANA;CL_ITALIANO_SAB_SEMANA;CL_JAPONES_SAB_SEMANA;CL_MANDARIM_SAB_SEMANA;TOTAL_CL_SAB_SEMANA;CL_ALEMAO_SAB;CL_ESPANHOL_SAB;CL_FRANCES_SAB;CL_INGLES_SAB;CL_ITALIANO_SAB;CL_JAPONES_SAB;CL_MANDARIM_SAB;TOTAL_CL_SAB;TOTAL_TOTAL_AL;TOTAL_TOTAL_CL
10101;NORTE 1;100;SAO PAULO;2;6;985004;CEL JTO A EE ANTONIO C C GUIMARAES FILHO PROFESSOR;0;32;0;0;0;0;0;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32;1
10102;CENTRO;100;SAO PAULO;2;6;985028;CEL JTO A EE BUENOS AIRES;60;181;121;139;0;0;0;501;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;11;7;5;0;0;0;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;501;26
10207;LESTE 1;100;SAO PAULO;2;6;985053;CEL JTO A EE NOSSA SENHORA DA PENHA;178;596;133;136;15;67;0;1125;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;30;8;5;1;4;0;60;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1125;60
10207;LESTE 1;100;SAO PAULO;2;6;985065;CEL JTO A EE ERMELINO MATARAZZO;0;228;98;100;0;0;0;426;0;0;0;0;0;0;0;0;0;24;26;0;0;0;0;50;0;12;4;5;0;0;0;21;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;3;476;24
10208;LESTE 4;100;SAO PAULO;2;6;411875;CEL JTO A EE DONA ZALINA ROLIM;0;167;0;80;0;0;0;247;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;3;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;247;12
10210;LESTE 2;100;SAO PAULO;2;6;458272;CEL JTO A EE DOM PEDRO I;22;62;30;33;0;38;0;185;0;0;0;0;0;0;0;0;0;416;86;197;18;0;0;717;1;3;1;1;0;2;0;8;0;0;0;0;0;0;0;0;0;16;4;7;1;0;0;28;902;36
10211;LESTE 3;100;SAO PAULO;2;6;985089;CEL JTO A EE FADLO HAIDAR;68;926;190;324;61;105;0;1674;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;37;8;11;3;5;0;67;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1674;67
10312;CENTRO OESTE;100;SAO PAULO;2;6;431850;CEL JTO A EE ANHANGUERA;0;24;0;12;0;0;0;36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;36;3
10312;CENTRO OESTE;100;SAO PAULO;2;6;985132;CEL JTO A EE RUI BLOEM;0;246;59;49;0;53;0;407;0;0;0;0;0;0;0;0;0;46;0;30;25;0;0;101;0;14;3;2;0;3;0;22;0;0;0;0;0;0;0;0;0;3;0;1;1;0;0;5;508;27
10316;CENTRO SUL;100;SAO PAULO;2;6;985120;CEL JTO A EE ALEXANDRE DE GUSMAO;33;301;107;24;29;103;0;597;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;15;6;1;2;7;0;33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;597;33
