ARVORE,TIPO_ARVORE,OPERACAO,MEDIA_TEMPO,MEDIA_COMP,N_ITENS
1,BST,insercao,3878.70,10.20,10
1,AVL,insercao,11148.90,8.70,10
2,BST,insercao,2616.50,11.30,10
2,AVL,insercao,6087.10,8.40,10
3,BST,insercao,941.50,12.40,10
3,AVL,insercao,5260.00,8.80,10
4,BST,insercao,1951.70,10.70,10
4,AVL,insercao,4696.00,8.60,10
5,BST,insercao,2395.20,9.70,10
5,AVL,insercao,10472.30,8.90,10
6,BST,insercao,3919.20,9.30,10
6,AVL,insercao,3949.80,7.70,10
7,BST,insercao,2188.70,9.70,10
7,AVL,insercao,4860.40,7.80,10
8,BST,insercao,1343.50,8.90,10
8,AVL,insercao,3297.30,7.80,10
9,BST,insercao,1462.30,9.10,10
9,AVL,insercao,4324.20,8.30,10
10,BST,insercao,991.10,9.30,10
10,AVL,insercao,3912.00,8.00,10
1,BST,insercao,46788.90,11.37,30
1,AVL,insercao,5785.47,8.40,30
2,BST,insercao,3010.23,12.17,30
2,AVL,insercao,5108.40,8.73,30
3,BST,insercao,3494.30,13.73,30
3,AVL,insercao,5205.13,9.20,30
4,BST,insercao,2551.67,12.03,30
4,AVL,insercao,5056.37,8.60,30
5,BST,insercao,3414.87,11.27,30
5,AVL,insercao,5970.43,8.27,30
6,BST,insercao,4485.97,10.37,30
6,AVL,insercao,4275.97,8.40,30
7,BST,insercao,2102.10,11.07,30
7,AVL,insercao,4044.93,8.17,30
8,BST,insercao,18715.87,10.23,30
8,AVL,insercao,3556.57,7.97,30
9,BST,insercao,19985.30,10.23,30
9,AVL,insercao,4356.33,7.93,30
10,BST,insercao,2032.80,10.77,30
10,AVL,insercao,4297.07,8.83,30
1,BST,insercao,2049.9,12.66,50
1,AVL,insercao,8246.82,8.66,50
2,BST,insercao,1054.22,13.42,50
2,AVL,insercao,6536.76,8.98,50
3,BST,insercao,1155.94,15.02,50
3,AVL,insercao,6450.12,9.06,50
4,BST,insercao,752.2,13.3,50
4,AVL,insercao,5733.9,8.7,50
5,BST,insercao,990.62,12.42,50
5,AVL,insercao,4795.1,8.3,50
6,BST,insercao,1264.56,11.58,50
6,AVL,insercao,4836.0,8.0,50
7,BST,insercao,727.62,12.34,50
7,AVL,insercao,4639.74,8.48,50
8,BST,insercao,907.52,11.6,50
8,AVL,insercao,4052.62,7.82,50
9,BST,insercao,960.2,11.46,50
9,AVL,insercao,4355.86,7.88,50
10,BST,insercao,1586.8,12.14,50
10,AVL,insercao,5138.18,8.58,50
1,BST,insercao,740.06,14.31,100
1,AVL,insercao,6757.76,8.86,100
2,BST,insercao,742.66,15.14,100
2,AVL,insercao,6798.31,9.25,100
3,BST,insercao,700.11,16.73,100
3,AVL,insercao,7123.94,9.4,100
4,BST,insercao,960.73,15.02,100
4,AVL,insercao,6127.68,8.99,100
5,BST,insercao,813.78,14.14,100
5,AVL,insercao,6018.51,8.88,100
6,BST,insercao,687.98,13.25,100
6,AVL,insercao,5732.06,8.49,100
7,BST,insercao,1092.48,14.12,100
7,AVL,insercao,5677.18,8.87,100
8,BST,insercao,595.72,13.42,100
8,AVL,insercao,4872.54,8.66,100
9,BST,insercao,803.12,13.16,100
9,AVL,insercao,5103.75,8.2,100
10,BST,insercao,824.47,13.99,100
10,AVL,insercao,5637.51,8.77,100
1,BST,busca,229703.4,10.2,10
